"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"CA","Oil Wells","27080","25088","24690","40368","37626"
"CA","Gas Wells","4210","3997","3768","3631","3450"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"CA","From Gas Wells","42658","29370","41835","45984","34631"
"CA","From Oil Wells","69168","57157","58962","39959","41741"
"CA","From Coalbed Wells","0","0","0","2","1"
"CA","From Shale Gas Wells","124822","118498","111662","116671","120450"
"US",""
"CA","Total","236648","205025","212458","202617","196823"
"US",""
"CA","Repressuring","NA","NA","0","0","0"
"CA","Vented and Flared","NA","NA","0","0","0"
"CA","Nonhydrocarbon Gases Removed","NA","NA","0","0","0"
"CA","Marketed Production","236648","205025","212458","202617","196823"
"CA","NGPL Production","12470","10597","9465","9397","8759"
"US",""
"CA","Total Dry Production","224178","194428","202993","193220","188064"
"US",""
"US","Supply (million cubic feet)"
"CA","Dry Production","224178","194428","202993","193220","188064"
"US","Receipts"
"CA","Imports","0","169","755","2813","802"
"CA","Intransit Receipts","0","0","8268","6500","19546"
"CA","Interstate Receipts","2251949","2108051","2052586","2043322","2149615"
"US","Withdrawals from Storage"
"CA","Underground Storage","204077","164077","170349","201291","199313"
"CA","LNG Storage","51","42","73","36","59"
"CA","Supplemental Gas Supplies","0","0","0","0","0"
"CA","Balancing Item","47265","66573","65009","86543","61591"
"US",""
"CA","Total Supply","2727521","2533341","2500032","2533723","2618989"
"US","Disposition (million cubic feet)"
"CA","Consumption","2301217","2172889","2116902","2137920","2154030"
"US","Deliveries"
"CA","Exports","124276","125215","127951","143940","145107"
"CA","Intransit Deliveries","0","0","0","0","0"
"CA","Interstate Deliveries","95200","110723","90447","102713","92352"
"US","Additions to Storage"
"CA","Underground Storage","206774","124474","164662","149116","227447"
"CA","LNG Storage","54","41","71","35","54"
"US",""
"CA","Total Disposition","2727521","2533341","2500032","2533723","2618989"
"US",""
"US","Consumption (million cubic feet)"
"CA","Lease Fuel","43838","40830","41146","39720","38675"
"CA","Pipeline and Distribution Use","17295","22112","19280","18866","20508"
"CA","Plant Fuel","1861","1545","1400","1218","1207"
"US","Delivered to Consumers"
"CA","Residential","401172","411828","431005","423915","464672"
"CA","Commercial","235791","236967","237352","248012","255981"
"CA","Industrial","777102","774503","760661","766415","768188"
"CA","Vehicle Fuel","18225","19086","25070","25053","26743"
"CA","Electric Power","805933","666017","600988","614722","578056"
"US",""
"CA","Total Delivered to Consumers","2238223","2108402","2055076","2078116","2093641"
"US",""
"CA","Total Consumption","2301217","2172889","2116902","2137920","2154030"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"CA","Residential","20450","20192","20989","21713","23133"
"CA","Commercial","118219","115959","112875","120738","120640"
"CA","Industrial","747210","744005","728926","735230","735748"
"US",""
"US","Number of Consumers"
"CA","Residential","10969597","10916368","11004853","11025789","11112094"
"CA","Commercial","446511","444960","446646","445408","447779"
"CA","Industrial","36853","37242","36833","36060","35625"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"CA","Commercial","528","533","531","557","572"
"CA","Industrial","21087","20797","20652","21254","21563"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"CA","Imports","--","3.39","3.57","4.71","3.71"
"CA","Exports","2.76","2.56","3.06","3.19","2.77"
"CA","Citygate","3.27","2.96","3.45","3.29","3.10"
"US","Delivered to Consumers"
"CA","Residential","11.39","11.84","12.49","12.30","12.95"
"CA","Commercial","8.04","8.42","8.76","8.57","9.41"
"CA","Industrial","6.41","6.79","7.05","7.12","7.69"
"CA","Electric Power","3.40","3.16","3.76","4.63","3.87"
