"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"CT","Oil Wells","0","0","0","0","0"
"CT","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"CT","From Gas Wells","0","0","0","0","0"
"CT","From Oil Wells","0","0","0","0","0"
"CT","From Coalbed Wells","0","0","0","0","0"
"CT","From Shale Gas Wells","0","0","0","0","0"
"US",""
"CT","Total","0","0","0","0","0"
"US",""
"CT","Repressuring","0","0","0","0","0"
"CT","Vented and Flared","0","0","0","0","0"
"CT","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"CT","Marketed Production","0","0","0","0","0"
"CT","NGPL Production","0","0","0","0","0"
"US",""
"CT","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"CT","Dry Production","0","0","0","0","0"
"US","Receipts"
"CT","Imports","0","0","0","0","0"
"CT","Intransit Receipts","0","0","0","0","0"
"CT","Interstate Receipts","564179","512510","558581","620501","717260"
"US","Withdrawals from Storage"
"CT","Underground Storage","0","0","0","0","0"
"CT","LNG Storage","1810","957","1265","1019","898"
"CT","Supplemental Gas Supplies","0","0","0","0","0"
"CT","Balancing Item","5762","11016","2967","457","-2078"
"US",""
"CT","Total Supply","571751","524482","562813","621977","716080"
"US","Disposition (million cubic feet)"
"CT","Consumption","254065","247958","239818","277931","283408"
"US","Deliveries"
"CT","Exports","0","0","0","0","0"
"CT","Intransit Deliveries","0","0","0","0","0"
"CT","Interstate Deliveries","316434","275484","322717","343260","432047"
"US","Additions to Storage"
"CT","Underground Storage","0","0","0","0","0"
"CT","LNG Storage","1252","1039","277","785","624"
"US",""
"CT","Total Disposition","571751","524482","562813","621977","716080"
"US",""
"US","Consumption (million cubic feet)"
"CT","Lease Fuel","0","0","0","0","0"
"CT","Pipeline and Distribution Use","5103","4340","5414","5792","6518"
"CT","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"CT","Residential","50975","46045","48431","53100","52228"
"CT","Commercial","52453","50258","52513","58184","57642"
"CT","Industrial","25612","24271","24557","24562","24520"
"CT","Vehicle Fuel","15","19","215","218","205"
"CT","Electric Power","119907","123024","108687","136075","142297"
"US",""
"CT","Total Delivered to Consumers","248963","243618","234404","272139","276890"
"US",""
"CT","Total Consumption","254065","247958","239818","277931","283408"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"CT","Residential","1891","1740","1858","1988","1947"
"CT","Commercial","12515","11917","12266","13714","12925"
"CT","Industrial","13489","12383","12174","11833","11975"
"US",""
"US","Number of Consumers"
"CT","Residential","531380","541545","549632","556724","567082"
"CT","Commercial","57403","58509","59027","59462","61988"
"CT","Industrial","3945","3776","3599","3235","3181"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"CT","Commercial","914","859","890","979","930"
"CT","Industrial","6492","6428","6823","7593","7708"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"CT","Imports","--","--","--","--","--"
"CT","Exports","--","--","--","--","--"
"CT","Citygate","4.07","3.57","4.44","5.55","5.36"
"US","Delivered to Consumers"
"CT","Residential","12.50","12.91","13.95","13.92","14.61"
"CT","Commercial","8.60","8.79","9.30","9.23","9.75"
"CT","Industrial","6.35","6.07","6.48","6.55","6.82"
"CT","Electric Power","4.73","3.67","4.36","4.80","3.48"
