"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"ME","Oil Wells","0","0","0","0","0"
"ME","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"ME","From Gas Wells","0","0","0","0","0"
"ME","From Oil Wells","0","0","0","0","0"
"ME","From Coalbed Wells","0","0","0","0","0"
"ME","From Shale Gas Wells","0","0","0","0","0"
"US",""
"ME","Total","0","0","0","0","0"
"US",""
"ME","Repressuring","0","0","0","0","0"
"ME","Vented and Flared","0","0","0","0","0"
"ME","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"ME","Marketed Production","0","0","0","0","0"
"ME","NGPL Production","0","0","0","0","0"
"US",""
"ME","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"ME","Dry Production","0","0","0","0","0"
"US","Receipts"
"ME","Imports","43361","29023","22118","35735","57094"
"ME","Intransit Receipts","0","0","0","0","0"
"ME","Interstate Receipts","71857","68735","65606","92841","99048"
"US","Withdrawals from Storage"
"ME","Underground Storage","0","0","0","0","0"
"ME","LNG Storage","55","47","41","50","481"
"ME","Supplemental Gas Supplies","0","0","0","0","0"
"ME","Balancing Item","2596","1435","14879","6406","17546"
"US",""
"ME","Total Supply","117870","99240","102644","135032","174170"
"US","Disposition (million cubic feet)"
"ME","Consumption","52777","53128","43810","46464","44484"
"US","Deliveries"
"ME","Exports","14242","12886","18928","37506","90299"
"ME","Intransit Deliveries","0","*","0","0","0"
"ME","Interstate Deliveries","50796","33178","39865","51016","39342"
"US","Additions to Storage"
"ME","Underground Storage","0","0","0","0","0"
"ME","LNG Storage","56","47","40","45","44"
"US",""
"ME","Total Disposition","117870","99240","102644","135032","174170"
"US",""
"US","Consumption (million cubic feet)"
"ME","Lease Fuel","0","0","0","0","0"
"ME","Pipeline and Distribution Use","999","652","679","821","1158"
"ME","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"ME","Residential","2700","2566","2748","3079","3134"
"ME","Commercial","10072","8559","8925","9586","9919"
"ME","Industrial","20972","18983","17698","19231","21024"
"ME","Vehicle Fuel","*","2","0","0","0"
"ME","Electric Power","18034","22366","13761","13747","9249"
"US",""
"ME","Total Delivered to Consumers","51778","52476","43131","45644","43326"
"US",""
"ME","Total Consumption","52777","53128","43810","46464","44484"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"ME","Residential","0","0","0","0","0"
"ME","Commercial","4718","3612","3630","3616","3641"
"ME","Industrial","19853","17396","16110","17622","19343"
"US",""
"US","Number of Consumers"
"ME","Residential","31011","32708","33750","34874","36557"
"ME","Commercial","11888","12136","12591","13000","13130"
"ME","Industrial","136","131","127","134","148"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"ME","Commercial","847","705","709","737","755"
"ME","Industrial","154204","144908","139358","143514","142053"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"ME","Imports","11.17","4.87","6.24","7.42","6.50"
"ME","Exports","3.27","3.13","4.84","5.54","3.58"
"ME","Citygate","8.76","6.41","6.50","8.00","6.51"
"US","Delivered to Consumers"
"ME","Residential","16.79","13.82","14.61","16.32","16.05"
"ME","Commercial","14.16","10.63","11.33","13.01","12.62"
"ME","Industrial","8.95","7.68","8.15","9.26","8.67"
"ME","Electric Power","W","W","W","W","W"
