"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"MA","Oil Wells","0","0","0","0","0"
"MA","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"MA","From Gas Wells","0","0","0","0","0"
"MA","From Oil Wells","0","0","0","0","0"
"MA","From Coalbed Wells","0","0","0","0","0"
"MA","From Shale Gas Wells","0","0","0","0","0"
"US",""
"MA","Total","0","0","0","0","0"
"US",""
"MA","Repressuring","0","0","0","0","0"
"MA","Vented and Flared","0","0","0","0","0"
"MA","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"MA","Marketed Production","0","0","0","0","0"
"MA","NGPL Production","0","0","0","0","0"
"US",""
"MA","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"MA","Dry Production","0","0","0","0","0"
"US","Receipts"
"MA","Imports","52293","72266","63936","50636","40326"
"MA","Intransit Receipts","0","0","0","0","0"
"MA","Interstate Receipts","488977","441055","467958","468191","462219"
"US","Withdrawals from Storage"
"MA","Underground Storage","0","0","0","0","0"
"MA","LNG Storage","9733","7098","8382","6166","6136"
"MA","Supplemental Gas Supplies","90","57","55","77","35"
"MA","Balancing Item","-1153","199","1424","3932","22324"
"US",""
"MA","Total Supply","549940","520675","541755","529001","531040"
"US","Disposition (million cubic feet)"
"MA","Consumption","444332","427946","448996","438577","433774"
"US","Deliveries"
"MA","Exports","0","0","0","0","0"
"MA","Intransit Deliveries","0","0","0","0","0"
"MA","Interstate Deliveries","96297","86604","86887","83732","92360"
"US","Additions to Storage"
"MA","Underground Storage","0","0","0","0","0"
"MA","LNG Storage","9311","6125","5873","6693","4906"
"US",""
"MA","Total Disposition","549940","520675","541755","529001","531040"
"US",""
"US","Consumption (million cubic feet)"
"MA","Lease Fuel","0","0","0","0","0"
"MA","Pipeline and Distribution Use","10340","8498","8261","8139","9857"
"MA","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"MA","Residential","126662","112082","121181","130296","135116"
"MA","Commercial","105171","104850","109470","118779","121518"
"MA","Industrial","44554","45721","47004","47524","48770"
"MA","Vehicle Fuel","809","362","113","127","120"
"MA","Electric Power","156795","156433","162967","133711","118394"
"US",""
"MA","Total Delivered to Consumers","433991","419448","440735","430438","423918"
"US",""
"MA","Total Consumption","444332","427946","448996","438577","433774"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"MA","Residential","717","1237","2096","3089","3121"
"MA","Commercial","57516","55597","58992","64541","74893"
"MA","Industrial","32701","33927","34592","34878","36155"
"US",""
"US","Number of Consumers"
"MA","Residential","1478072","1494568","1510872","1532732","1548127"
"MA","Commercial","140533","141870","142863","144592","144769"
"MA","Industrial","11266","11334","11196","11205","11196"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"MA","Commercial","748","739","766","821","839"
"MA","Industrial","3955","4034","4198","4241","4356"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"MA","Imports","7.90","4.15","4.43","6.48","8.10"
"MA","Exports","--","--","--","--","--"
"MA","Citygate","5.72","4.49","5.28","6.37","5.53"
"US","Delivered to Consumers"
"MA","Residential","13.02","12.46","13.32","15.47","14.72"
"MA","Commercial","10.81","9.48","10.16","12.84","11.32"
"MA","Industrial","9.22","7.40","8.02","10.31","9.92"
"MA","Electric Power","4.33","3.29","3.74","4.91","4.73"
