"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"NH","Oil Wells","0","0","0","0","0"
"NH","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"NH","From Gas Wells","0","0","0","0","0"
"NH","From Oil Wells","0","0","0","0","0"
"NH","From Coalbed Wells","0","0","0","0","0"
"NH","From Shale Gas Wells","0","0","0","0","0"
"US",""
"NH","Total","0","0","0","0","0"
"US",""
"NH","Repressuring","0","0","0","0","0"
"NH","Vented and Flared","0","0","0","0","0"
"NH","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"NH","Marketed Production","0","0","0","0","0"
"NH","NGPL Production","0","0","0","0","0"
"US",""
"NH","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"NH","Dry Production","0","0","0","0","0"
"US","Receipts"
"NH","Imports","77866","68545","65257","93181","100086"
"NH","Intransit Receipts","0","374","497","0","0"
"NH","Interstate Receipts","106024","78360","82757","183361","183726"
"US","Withdrawals from Storage"
"NH","Underground Storage","0","0","0","0","0"
"NH","LNG Storage","241","168","124","192","229"
"NH","Supplemental Gas Supplies","0","0","0","0","0"
"NH","Balancing Item","-5542","-1458","-8373","-7161","-4626"
"US",""
"NH","Total Supply","178589","145989","140261","269573","279414"
"US","Disposition (million cubic feet)"
"NH","Consumption","68682","57957","52071","49888","53624"
"US","Deliveries"
"NH","Exports","735","0","889","705","1992"
"NH","Intransit Deliveries","0","0","0","*","0"
"NH","Interstate Deliveries","108931","87859","87181","218784","223571"
"US","Additions to Storage"
"NH","Underground Storage","0","0","0","0","0"
"NH","LNG Storage","240","172","121","195","227"
"US",""
"NH","Total Disposition","178589","145989","140261","269573","279414"
"US",""
"US","Consumption (million cubic feet)"
"NH","Lease Fuel","0","0","0","0","0"
"NH","Pipeline and Distribution Use","86","193","186","146","160"
"NH","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"NH","Residential","7842","6861","7331","8134","8034"
"NH","Commercial","9630","8509","9078","10129","10135"
"NH","Industrial","8386","8454","9499","9916","9834"
"NH","Vehicle Fuel","65","99","2","*","1"
"NH","Electric Power","42673","33841","25975","21563","25460"
"US",""
"NH","Total Delivered to Consumers","68596","57765","51885","49742","53464"
"US",""
"NH","Total Consumption","68682","57957","52071","49888","53624"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"NH","Residential","0","0","0","0","0"
"NH","Commercial","4008","3941","4174","4416","4290"
"NH","Industrial","7574","7969","9032","9116","9115"
"US",""
"US","Number of Consumers"
"NH","Residential","102567","104484","105540","107447","109303"
"NH","Commercial","18185","18571","18507","18696","19076"
"NH","Industrial","193","185","186","193","194"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"NH","Commercial","530","458","491","542","531"
"NH","Industrial","43452","45698","51069","51376","50693"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"NH","Imports","5.18","3.42","4.19","5.08","3.54"
"NH","Exports","2.96","--","2.22","10.30","8.73"
"NH","Citygate","7.64","5.30","5.86","7.12","5.74"
"US","Delivered to Consumers"
"NH","Residential","16.18","14.25","14.55","15.35","15.75"
"NH","Commercial","13.63","11.36","11.71","12.72","12.48"
"NH","Industrial","10.33","8.59","9.09","9.81","9.45"
"NH","Electric Power","W","W","W","W","W"
