"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"NY","Oil Wells","1697","1838","1433","2789","2084"
"NY","Gas Wells","7605","7624","7334","7192","7186"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"NY","From Gas Wells","17111","13256","11246","10420","10676"
"NY","From Oil Wells","214","253","129","221","286"
"NY","From Coalbed Wells","0","0","0","0","0"
"NY","From Shale Gas Wells","0","14","20","12","0"
"US",""
"NY","Total","17325","13523","11395","10653","10962"
"US",""
"NY","Repressuring","0","0","0","0","0"
"NY","Vented and Flared","0","0","0","0","0"
"NY","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"NY","Marketed Production","17325","13523","11395","10653","10962"
"NY","NGPL Production","0","0","0","0","0"
"US",""
"NY","Total Dry Production","17325","13523","11395","10653","10962"
"US",""
"US","Supply (million cubic feet)"
"NY","Dry Production","17325","13523","11395","10653","10962"
"US","Receipts"
"NY","Imports","190194","208511","149227","191792","175765"
"NY","Intransit Receipts","0","0","0","0","0"
"NY","Interstate Receipts","2389416","2396260","2456908","1853038","1980146"
"US","Withdrawals from Storage"
"NY","Underground Storage","71653","94466","89893","94714","76395"
"NY","LNG Storage","1569","956","1231","791","815"
"NY","Supplemental Gas Supplies","0","0","0","0","0"
"NY","Balancing Item","-149343","-190616","-212140","503468","448854"
"US",""
"NY","Total Supply","2520814","2523101","2496514","2654457","2692937"
"US","Disposition (million cubic feet)"
"NY","Consumption","1353385","1296270","1237311","1350443","1312031"
"US","Deliveries"
"NY","Exports","188634","288980","286338","275654","276594"
"NY","Intransit Deliveries","0","0","0","0","0"
"NY","Interstate Deliveries","889203","861276","878812","946746","1011973"
"US","Additions to Storage"
"NY","Underground Storage","87575","75233","93013","80521","91709"
"NY","LNG Storage","2016","1341","1040","1093","629"
"US",""
"NY","Total Disposition","2520814","2523101","2496514","2654457","2692937"
"US",""
"US","Consumption (million cubic feet)"
"NY","Lease Fuel","277","216","182","170","175"
"NY","Pipeline and Distribution Use","31703","23914","24890","26482","25261"
"NY","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"NY","Residential","452166","412467","432566","485693","473617"
"NY","Commercial","311207","302572","310319","330213","322778"
"NY","Industrial","83058","80850","82848","91430","90330"
"NY","Vehicle Fuel","3388","3825","1016","960","945"
"NY","Electric Power","471586","472427","385490","415495","398926"
"US",""
"NY","Total Delivered to Consumers","1321405","1272140","1212239","1323790","1286596"
"US",""
"NY","Total Consumption","1353385","1296270","1237311","1350443","1312031"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"NY","Residential","130710","114419","115744","125815","115546"
"NY","Commercial","199841","198385","199225","206234","199130"
"NY","Industrial","77911","76188","78048","86152","85107"
"US",""
"US","Number of Consumers"
"NY","Residential","4439247","4484005","4492315","4523141","4545244"
"NY","Commercial","397671","401944","401143","405066","410386"
"NY","Industrial","6031","6466","6650","6867","7049"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"NY","Commercial","783","753","774","815","787"
"NY","Industrial","13772","12504","12458","13314","12815"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"NY","Imports","4.98","3.12","4.13","4.47","3.43"
"NY","Exports","3.06","2.50","2.94","3.03","2.51"
"NY","Citygate","4.15","3.57","4.29","4.87","4.25"
"US","Delivered to Consumers"
"NY","Residential","11.20","10.84","12.04","12.37","12.61"
"NY","Commercial","6.86","6.19","6.87","7.36","7.21"
"NY","Industrial","6.62","5.92","7.21","7.83","7.70"
"NY","Electric Power","3.51","2.76","3.46","3.87","3.03"
