"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"RI","Oil Wells","0","0","0","0","0"
"RI","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"RI","From Gas Wells","0","0","0","0","0"
"RI","From Oil Wells","0","0","0","0","0"
"RI","From Coalbed Wells","0","0","0","0","0"
"RI","From Shale Gas Wells","0","0","0","0","0"
"US",""
"RI","Total","0","0","0","0","0"
"US",""
"RI","Repressuring","0","0","0","0","0"
"RI","Vented and Flared","0","0","0","0","0"
"RI","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"RI","Marketed Production","0","0","0","0","0"
"RI","NGPL Production","0","0","0","0","0"
"US",""
"RI","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"RI","Dry Production","0","0","0","0","0"
"US","Receipts"
"RI","Imports","0","0","0","0","0"
"RI","Intransit Receipts","0","0","0","0","0"
"RI","Interstate Receipts","238378","200956","255841","251877","267776"
"US","Withdrawals from Storage"
"RI","Underground Storage","0","0","0","0","0"
"RI","LNG Storage","864","764","561","587","431"
"RI","Supplemental Gas Supplies","0","0","0","0","0"
"RI","Balancing Item","3942","-295","-293","2836","5760"
"US",""
"RI","Total Supply","243184","201425","256109","255299","273968"
"US","Disposition (million cubic feet)"
"RI","Consumption","93886","85977","92061","101796","99301"
"US","Deliveries"
"RI","Exports","0","0","0","0","0"
"RI","Intransit Deliveries","0","0","0","0","0"
"RI","Interstate Deliveries","148409","114826","163636","152699","174250"
"US","Additions to Storage"
"RI","Underground Storage","0","0","0","0","0"
"RI","LNG Storage","889","622","413","804","417"
"US",""
"RI","Total Disposition","243184","201425","256109","255299","273968"
"US",""
"US","Consumption (million cubic feet)"
"RI","Lease Fuel","0","0","0","0","0"
"RI","Pipeline and Distribution Use","3106","2545","2827","2364","2052"
"RI","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"RI","Residential","20042","17200","18421","20523","19892"
"RI","Commercial","12016","10744","11338","12732","12416"
"RI","Industrial","8624","8474","8551","8817","8819"
"RI","Vehicle Fuel","92","107","103","100","97"
"RI","Electric Power","50005","46907","50820","57260","56026"
"US",""
"RI","Total Delivered to Consumers","90780","83432","89234","99431","97248"
"US",""
"RI","Total Consumption","93886","85977","92061","101796","99301"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"RI","Residential","0","0","0","0","0"
"RI","Commercial","5531","5069","5350","5922","5833"
"RI","Industrial","8156","8193","8236","8446","8441"
"US",""
"US","Number of Consumers"
"RI","Residential","236323","239038","241451","243891","246267"
"RI","Commercial","24088","24392","24545","24628","24787"
"RI","Industrial","260","266","279","291","299"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"RI","Commercial","499","440","462","517","501"
"RI","Industrial","33170","31857","30649","30298","29494"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"RI","Imports","--","--","--","--","--"
"RI","Exports","--","--","--","--","--"
"RI","Citygate","3.14","2.12","2.22","2.37","2.49"
"US","Delivered to Consumers"
"RI","Residential","14.24","13.80","14.02","15.65","15.36"
"RI","Commercial","11.99","11.16","11.30","12.98","12.87"
"RI","Industrial","9.26","8.70","8.48","10.46","9.70"
"RI","Electric Power","3.72","W","3.63","4.21","W"
