"STATE CODE","","2015","2016","2017","2018","2019"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"VT","Oil Wells","0","0","0","0","0"
"VT","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"VT","From Gas Wells","0","0","0","0","0"
"VT","From Oil Wells","0","0","0","0","0"
"VT","From Coalbed Wells","0","0","0","0","0"
"VT","From Shale Gas Wells","0","0","0","0","0"
"US",""
"VT","Total","0","0","0","0","0"
"US",""
"VT","Repressuring","0","0","0","0","0"
"VT","Vented and Flared","0","0","0","0","0"
"VT","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"VT","Marketed Production","0","0","0","0","0"
"VT","NGPL Production","0","0","0","0","0"
"US",""
"VT","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"VT","Dry Production","0","0","0","0","0"
"US","Receipts"
"VT","Imports","12844","15248","14852","15308","13685"
"VT","Intransit Receipts","0","0","0","118","693"
"VT","Interstate Receipts","0","0","0","92982","99444"
"US","Withdrawals from Storage"
"VT","Underground Storage","0","0","0","0","0"
"VT","LNG Storage","0","0","0","0","0"
"VT","Supplemental Gas Supplies","3","1","2","1","3"
"VT","Balancing Item","-897","-3044","-2929","-1685","-515"
"US",""
"VT","Total Supply","11950","12205","11926","106725","113311"
"US","Disposition (million cubic feet)"
"VT","Consumption","11950","12094","11926","13742","13866"
"US","Deliveries"
"VT","Exports","0","0","0","0","0"
"VT","Intransit Deliveries","0","0","0","0","0"
"VT","Interstate Deliveries","0","111","0","92983","99444"
"US","Additions to Storage"
"VT","Underground Storage","0","0","0","0","0"
"VT","LNG Storage","0","0","0","0","0"
"US",""
"VT","Total Disposition","11950","12205","11926","106725","113311"
"US",""
"US","Consumption (million cubic feet)"
"VT","Lease Fuel","0","0","0","0","0"
"VT","Pipeline and Distribution Use","136","135","8","10","3"
"VT","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"VT","Residential","3833","3518","3509","4081","4139"
"VT","Commercial","5918","6251","6205","7356","7341"
"VT","Industrial","2040","2172","2191","2284","2370"
"VT","Vehicle Fuel","3","4","0","0","0"
"VT","Electric Power","19","14","12","11","12"
"US",""
"VT","Total Delivered to Consumers","11814","11959","11917","13732","13863"
"US",""
"VT","Total Consumption","11950","12094","11926","13742","13866"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"VT","Residential","0","0","0","0","0"
"VT","Commercial","0","0","0","0","0"
"VT","Industrial","0","0","0","0","0"
"US",""
"US","Number of Consumers"
"VT","Residential","43267","44244","45275","46372","47122"
"VT","Commercial","5696","5760","5736","5968","6067"
"VT","Industrial","14","15","15","15","15"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"VT","Commercial","1039","1085","1082","1233","1210"
"VT","Industrial","145737","144771","146065","152291","157993"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"VT","Imports","5.31","3.81","3.88","4.01","2.87"
"VT","Exports","--","--","--","--","--"
"VT","Citygate","6.33","5.13","5.03","4.64","3.86"
"US","Delivered to Consumers"
"VT","Residential","14.56","14.15","14.12","13.65","13.14"
"VT","Commercial","7.89","6.63","7.04","6.77","6.01"
"VT","Industrial","5.50","5.20","4.92","4.55","4.13"
"VT","Electric Power","--","--","W","W","W"
